"Priority","Capability to prove","Primary OSS service","Supporting services","Best proof workflow","Value unlocked"
"1","Governed, durable multi-step execution with human approval, restart recovery and signed output","Temporal","OPA, OpenBao, Marquez, Off Grid App Worker","FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.01","[app-worker:artifact-identity] Immutable worker artifact identity — Identify the exact app-worker source, runtime dependency, launch contract, and deployed artifact before assigning work.","Off Grid App Worker","OPA, OpenBao, Marquez, Off Grid App Worker","Verify App Worker “Immutable worker artifact identity” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.02","[app-worker:failure-recovery] Failure and restart recovery — Retry transient step failures and survive worker loss without duplicating side effects or losing the operator-visible run.","Off Grid App Worker","OPA, OpenBao, Marquez, Off Grid App Worker","Verify App Worker “Failure and restart recovery” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.03","[app-worker:governed-step-execution] Governed step execution — Execute app steps with tenant, actor, pipeline, policy, guardrail, routing, and provenance context intact.","Off Grid App Worker","OPA, OpenBao, Marquez, Off Grid App Worker","Verify App Worker “Governed step execution” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.04","[app-worker:human-pause-resume] Durable human pause and resume — Pause a multi-step app at an authority gate, preserve history, and resume or reject it through an audited decision.","Off Grid App Worker","OPA, OpenBao, Marquez, Off Grid App Worker","Verify App Worker “Durable human pause and resume” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.05","[app-worker:output-persistence] Output and run-state persistence — Persist step state, final output, report artifacts, and provenance so an operator can inspect and act on the result later.","Off Grid App Worker","OPA, OpenBao, Marquez, Off Grid App Worker","Verify App Worker “Output and run-state persistence” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.06","[app-worker:task-queue-readiness] Task queue and poller readiness — Confirm a compatible app worker is polling offgrid-apps before durable work is accepted.","Off Grid App Worker","OPA, OpenBao, Marquez, Off Grid App Worker","Verify App Worker “Task queue and poller readiness” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.07","[marquez:openlineage-events] OpenLineage event ingestion — Accept job, run, dataset, and facet events through the OpenLineage API.","Marquez","OPA, OpenBao, Marquez, Off Grid App Worker","Verify Marquez “OpenLineage event ingestion” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.08","[marquez:run-history-facets] Run history and facets — Inspect run state, timing, schema, ownership, and custom facets.","Marquez","OPA, OpenBao, Marquez, Off Grid App Worker","Verify Marquez “Run history and facets” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.09","[opa:policy-decisions] Governed policy decisions — Evaluate tenant-scoped allow/deny decisions and preserve explainable evidence.","Policy Engine","OPA, OpenBao, Marquez, Off Grid App Worker","Verify Policy Engine “Governed policy decisions” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
